St,County,Design Wind Speed (mph),Wind Quality Class
MT,Cascade,19,2
ID,Cassia,14.9,2
ID,Cassia,14.1,2
ID,Cassia,14.4,2
ID,Twin Falls,14,2
ID,Twin Falls,14.9,2
ID,Twin Falls,14.4,2
ID,Twin Falls,13.8,2
ID,Twin Falls,14.1,2
ID,Twin Falls,14.6,2
ID,Elmore,14.4,2
ID,Twin Falls,14.5,2
IA,Osceola,,
MN,Lincoln,,
MD,Garrett,19,2
CO,Kit Carson,7.9,2
IA,EMMET,18,2
MA,BARNSTABLE,14.5,2
MA,BARNSTABLE,13.7,2
OK,Dewey,18,2
NE,Richardson,25.7,1
TX,Hutchinson,19.7,2
OK,Texas,18.9,2
TX,Hansford,19.2,2
OK,Texas,18.8,2
TX,Lubbock,15.9,2
NM,Curry,15.9,2
MN,Grant,19,2
CO,Logan,16.9,2
CO,Logan,15.8,3
MN,Rice,16,4
MD,GARRETT,18.3,2
CO,LINCOLN,19,2
CA,RIVERSIDE,15,1
TX,Mitchell,17,2
IL,DeKalb,17.9,3
TX,Moore,18.3,2
WY,CONVERSE,8,2
OK,Roger Mills,16.8,3
IL,McLean,16.8,3
RI,Newport,14,2
ME,Knox,14.5,2
NM,Sandoval,14,2
OK,WOODWARD,18,1
MN,Meeker,17.7,2
MN,KANDIYOHI,16.6,2
ND,Barnes,16.8,3
MA,BARNSTABLE,19,2
IA,Delaware,19,3
MN,Murray,13,2
SD,Clark,19,2
IA,Winnebago,16.8,3
IA,Hardin,16.8,3
TX,Crosby,18.5,2
MN,Jackson,17.8,2
OR,Umatilla,15.4,2
OR,Morrow,15.4,2
MN,Lyon,18.6,2
MN,Faribault,17,2
MN,Lincoln,16.8,2
IN,Randolph,12.3,3
OR,Gilliam,14.3,2
OR,Gilliam,13.5,2
HI,Honolulu,13,3
MN,Winona,0,2
WI,Brown,8,2
MN,Pipestone,17,2
CA,Kern,16.5,1
ME,OXFORD,17,2
OH,Van Wert,13,3
OR,Sherman,12,2
OK,Grady,18,2
OK,Caddo,18,2
CA,San Joaquin,10.5,4
CA,San Joaquin,11.6,4
CA,Solano,13.4,4
CA,San Bernardino,11.2,4
OH,Paulding,16.8,3
OK,Caddo,17.9,2
MI,Sanilac,16.3,3
OH,Cuyahoga,14,3
IA,Adair,37,2
KS,Ford,7,2
CO,Pueblo,16.8,2
NY,Ontario,20,2
KS,Gray,8,2
MT,Wheatland,19,1
KS,Ellsworth,18,2
CO,Jefferson,8.4,3
CA,Contra Costa,13.3,1
ID,Elmore,28,3
MT,Meagher,21,1
MN,Stevens,18,2
NE,Boone,19,2
PA,Lycoming,6,2
TX,Hartley,18.9,2
TX,Hartley,16.8,2
TX,Cameron,6,2
TX,Cameron,7,2
WA,Grays Harbor,12,2
ID,Power,17.2,2
ID,Power,15.4,3
ID,Bonneville,17.9,3
IL,Brown,16.5,2
OR,Baker,16.3,2
MN,Winona,15,2
IA,Greene,19,3
IA,Bremer,19,3
MN,Nobles,17.9,2
CA,Alameda,,
CA,Kern,,
MN,Murray,33.5,1
MN,Murray,22.4,2
MN,Murray,19,2
HI,Hawaii,22.4,1
PA,BLAIR,19,2
MN,Jackson,19,2
TX,Archer,19,2
TX,Deaf Smith,19,2
